id_player_fifa,position
49467,LCM
193301,ST
199574,RES
176363,SUB
223510,SUB
184383,SUB
180175,LS
18181,SUB
177568,RES
228768,SUB
142329,RCM
150267,SUB
211061,CAM
150891,CAM
204173,RES
231346,RES
222982,RDM
228804,SUB
187891,SUB
211328,SUB
184941,LM
163991,SUB
135742,SUB
207994,RES
229301,SUB
149599,RES
228302,SUB
204729,LCM
208535,RCM
195586,ST
188879,RCM
202107,RCM
190747,ST
176692,SUB
200773,SUB
203528,SUB
215384,ST
49940,SUB
223198,SUB
197678,GK
148684,GK
51936,SUB
212469,SUB
205342,SUB
200233,CAM
223958,RES
229362,SUB
193466,SUB
226713,SUB
191589,RES
215871,RW
200898,SUB
210879,SUB
15706,RCB
49000,GK
192667,LB
140047,RES
216388,RM
199914,RCM
232208,SUB
227873,SUB
189767,LCB
188603,SUB
138698,SUB
199661,LCM
228592,SUB
53030,CDM
155681,SUB
202889,RES
193105,SUB
183813,SUB
12492,SUB
203879,LM
213311,RES
142451,LM
146741,RES
198630,SUB
146377,SUB
190150,RES
184197,SUB
188417,SUB
216447,LM
189661,ST
202935,SUB
182860,SUB
212476,SUB
146749,SUB
201153,SUB
146439,ST
172098,SUB
146932,SUB
155827,SUB
41196,SUB
204830,LM
201403,SUB
176858,RCB
181455,LB
231109,RES
195209,SUB
179763,LS
230613,SUB
190248,LB
202195,RES
194718,LM
149568,SUB
177668,SUB
28298,RES
204099,RES
203187,SUB
229321,RW
204845,SUB
205966,LW
189727,SUB
189432,SUB
199282,LDM
193300,SUB
195839,LCB
8284,SUB
207744,RDM
169770,SUB
199986,SUB
220965,RM
204098,SUB
227732,SUB
210536,RS
121622,SUB
224291,SUB
186887,LS
216189,RB
191740,RDM
189574,SUB
49364,SUB
199792,RCM
187042,CM
135043,SUB
202550,LDM
209025,SUB
223829,SUB
220921,RCM
181228,RB
206024,RES
212523,CAM
189488,RES
167963,LDM
192442,SUB
193234,SUB
188547,SUB
193490,GK
106213,CM
197946,SUB
184565,SUB
15270,RCM
194022,SUB
199626,SUB
227236,SUB
212691,RES
176571,RW
169422,CB
139245,SUB
205998,LDM
193023,LB
229889,SUB
203299,RM
184133,CAM
216102,SUB
209804,SUB
200785,SUB
164300,LCB
189794,SUB
